year,City,Setting,avgTemp
1992,Moscow,Inland,5.359416666666667
1992,Sydney,Coastal,16.8915
1993,Alexandria,Coastal,20.74
1993,Baghdad,Inland,22.8595
1993,Delhi,Inland,25.92141666666667
1993,Los Angeles,Coastal,16.363166666666668
1993,Moscow,Inland,4.152416666666667
1993,Sydney,Coastal,17.423416666666668
1994,Alexandria,Coastal,21.096416666666666
1994,Baghdad,Inland,23.465833333333336
1994,Delhi,Inland,25.86916666666667
1994,Los Angeles,Coastal,16.286083333333334
1994,Moscow,Inland,4.131500000000001
1994,Sydney,Coastal,17.357666666666667
1995,Alexandria,Coastal,20.624
1995,Baghdad,Inland,23.318
1995,Delhi,Inland,25.920333333333332
1995,Los Angeles,Coastal,16.635250000000003
1995,Moscow,Inland,5.882916666666667
1995,Sydney,Coastal,16.949
1996,Alexandria,Coastal,20.851166666666668
1996,Baghdad,Inland,23.958
1996,Delhi,Inland,25.54641666666667
1996,Los Angeles,Coastal,17.083833333333335
1996,Moscow,Inland,4.551916666666667
1996,Sydney,Coastal,17.046083333333332
1997,Alexandria,Coastal,20.516416666666668
1997,Baghdad,Inland,22.744250000000005
1997,Delhi,Inland,24.708166666666667
1997,Los Angeles,Coastal,16.931583333333332
1997,Moscow,Inland,4.55675
1997,Sydney,Coastal,17.511
1998,Alexandria,Coastal,21.29375
1998,Baghdad,Inland,24.333
1998,Delhi,Inland,25.769000000000002
1998,Los Angeles,Coastal,15.370666666666667
1998,Moscow,Inland,4.47125
1998,Sydney,Coastal,18.04975
1999,Alexandria,Coastal,21.461000000000002
1999,Baghdad,Inland,24.423583333333337
1999,Delhi,Inland,26.36283333333333
1999,Los Angeles,Coastal,16.118416666666665
1999,Moscow,Inland,5.944416666666666
1999,Sydney,Coastal,17.546916666666668
2000,Alexandria,Coastal,20.7445
2000,Baghdad,Inland,23.89633333333333
2000,Delhi,Inland,26.048333333333332
2000,Los Angeles,Coastal,16.643333333333334
2000,Moscow,Inland,5.960916666666667
2000,Sydney,Coastal,17.567416666666666
2001,Alexandria,Coastal,21.454583333333332
2001,Baghdad,Inland,24.445916666666665
2001,Delhi,Inland,25.862916666666667
2001,Los Angeles,Coastal,16.46625
2001,Moscow,Inland,5.316166666666667
2001,Sydney,Coastal,17.854499999999998
2002,Alexandria,Coastal,21.456166666666665
2002,Baghdad,Inland,23.764750000000003
2002,Delhi,Inland,26.634333333333334
2002,Los Angeles,Coastal,16.430249999999997
2002,Moscow,Inland,5.634250000000001
2002,Sydney,Coastal,17.733833333333333
