year,month,avgTemp,Period
1984,1,-5.3020000000000005,1970-1990
1984,2,-11.643999999999998,1970-1990
1984,3,-3.161,1970-1990
1984,4,6.752999999999999,1970-1990
1984,5,15.330000000000002,1970-1990
1984,6,14.774,1970-1990
1984,7,16.869000000000003,1970-1990
1984,8,14.843,1970-1990
1984,9,12.248,1970-1990
1984,10,6.223000000000001,1970-1990
1984,11,-3.697,1970-1990
1984,12,-10.203,1970-1990
1985,1,-11.415,1970-1990
1985,2,-15.431,1970-1990
1985,3,-4.423,1970-1990
1985,4,4.624,1970-1990
1985,5,12.718,1970-1990
1985,6,14.458,1970-1990
1985,7,16.125,1970-1990
1985,8,18.891,1970-1990
1985,9,9.794,1970-1990
1985,10,5.617999999999999,1970-1990
1985,11,-3.931,1970-1990
1985,12,-7.395,1970-1990
1986,1,-7.456000000000001,1970-1990
1986,2,-15.167,1970-1990
1986,3,-0.9689999999999994,1970-1990
1986,4,6.449,1970-1990
1986,5,12.966,1970-1990
1986,6,17.801000000000005,1970-1990
1986,7,17.329,1970-1990
1986,8,16.247,1970-1990
1986,9,8.349,1970-1990
1986,10,3.731,1970-1990
1986,11,-0.75,1970-1990
1986,12,-8.197000000000001,1970-1990
1987,1,-18.87,1970-1990
1987,2,-7.1389999999999985,1970-1990
1987,3,-6.818999999999999,1970-1990
1987,4,2.104,1970-1990
1987,5,12.201,1970-1990
1987,6,17.035,1970-1990
1987,7,16.270000000000003,1970-1990
1987,8,14.691,1970-1990
1987,9,8.939,1970-1990
1987,10,2.972,1970-1990
1987,11,-3.614,1970-1990
1987,12,-7.908,1970-1990
1988,1,-8.38,1970-1990
1988,2,-6.855,1970-1990
1988,3,-1.5479999999999996,1970-1990
1988,4,4.473,1970-1990
1988,5,13.316,1970-1990
1988,6,18.777,1970-1990
1988,7,20.857000000000006,1970-1990
1988,8,16.155,1970-1990
1988,9,11.109000000000002,1970-1990
1988,10,4.1419999999999995,1970-1990
1988,11,-5.343999999999999,1970-1990
1988,12,-8.008000000000001,1970-1990
1989,1,-2.758,1970-1990
1989,2,-1.1629999999999985,1970-1990
1989,3,1.5570000000000013,1970-1990
1989,4,7.167000000000001,1970-1990
1989,5,12.945,1970-1990
1989,6,19.649,1970-1990
1989,7,18.383000000000006,1970-1990
1989,8,16.148,1970-1990
1989,9,12.048,1970-1990
1989,10,4.97,1970-1990
1989,11,-3.484,1970-1990
1989,12,-5.961,1970-1990
1990,1,-6.066000000000002,1970-1990
1990,2,-0.1499999999999985,1970-1990
1990,3,1.7550000000000008,1970-1990
1990,4,7.477,1970-1990
1990,5,10.260000000000002,1970-1990
1990,6,13.936,1970-1990
1990,7,16.964000000000002,1970-1990
1990,8,15.648,1970-1990
1990,9,9.23,1970-1990
1990,10,5.063,1970-1990
1990,11,0.044,1970-1990
1990,12,-4.4719999999999995,1970-1990
1991,1,-6.6770000000000005,1991-2013
1991,2,-7.590999999999998,1991-2013
1991,3,-2.27,1991-2013
1991,4,6.236000000000001,1991-2013
1991,5,12.762,1991-2013
